FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
成华区荆竹东路与东荆路交汇处,首创花与城,http://cd.fang.lianjia.com/loupan/p_scghcaatzt/, 9500
人民南路南延线麓山大道（成都实验外国语旁）,三利麓山城3期,http://cd.fang.lianjia.com/loupan/p_sllscaaunk/, 7000
红牌楼佳灵路6号,南棠蜜地,http://cd.fang.lianjia.com/loupan/p_ntmdaamsp/, 13000
桐凤路39号,紫檀,http://cd.fang.lianjia.com/loupan/p_ztaaunp/, 19000
中和中柏大道（格林君典旁）,新景鼎南川宇,http://cd.fang.lianjia.com/loupan/p_xjdncyaarwo/, 11500
双流东升街道航园路（棠湖中学实验学校旁）,棠府锦绣城,http://cd.fang.lianjia.com/loupan/p_tfjxcaarws/, 7900
建功路66号（荣新加油站东南方900米）,蓝光雍锦阁,http://cd.fang.lianjia.com/loupan/p_lgyjgaaqcp/, 17500
杉板桥南五路199号（蓝光东方天地旁）,华都云景台,http://cd.fang.lianjia.com/loupan/p_hdyjtaauqb/, 10810
水杉街369号(蓝谷地成都三中对面),华固一品,http://cd.fang.lianjia.com/loupan/p_hgypaakjr/, 10500
花源镇花源大道290号,万辰乐居,http://cd.fang.lianjia.com/loupan/p_wcljaaxfz/, 5000
金马国际体育城太极大道66号（体育城附近）,东原城,http://cd.fang.lianjia.com/loupan/p_dycaadxr/, 5500
九江镇万家街道（星空路与香榭大道交汇处）,第五城华润公园九里,http://cd.fang.lianjia.com/loupan/p_dwchrgyjlaatrl/, 5700
郫县红光镇港大路39号（距离郫县华西分院一个站）,优派立方,http://cd.fang.lianjia.com/loupan/p_yplfaabfh/, 4900
老成灌路洪高路88号,龙城国际,http://cd.fang.lianjia.com/loupan/p_lcgjaackj/, 6200
东二环新鸿路口,恒大中央广场,http://cd.fang.lianjia.com/loupan/p_hdzygcaacwb/, 13500
国宁东路666号(成都外国语学校旁),鼎犀名城,http://cd.fang.lianjia.com/loupan/p_dxmcaaejy/, 7800
簇锦街办铁佛村3、8组(武侯大道铁佛段与金履路交汇处),西派城,http://cd.fang.lianjia.com/loupan/p_xpcaaupw/, 15000
蜀都新城 创智公园南四路100号（创智公园正对面）,海骏达蜀都1号三期,http://cd.fang.lianjia.com/loupan/p_hjdsdsqaasfq/, 5500
